稲嶺誉,1980年10月21日
井上修,1946年7月20日
井上一樹,1971年7月25日
井上圭一,1951年10月4日
井上紘一,1976年12月16日
井上浩司,1974年4月10日
井上純,1970年6月8日
井上真二,1966年7月12日
井上貴朗,1975年7月16日
井上卓也,1957年4月2日
井上登,1934年5月26日
井上弘昭,1944年5月21日
井上安雄,1931年1月10日
井上祐二,1963年3月2日
井上雄介,1986年9月5日
井上幸信,1950年9月25日
井上善夫,1941年9月27日
井上嘉弘,1926年3月25日
猪久保吾一,1967年12月26日
猪俣隆,1964年6月25日
井場友和,1976年8月27日
井端弘和,1975年5月12日
伊原春樹,1949年1月18日
伊原正樹,1986年11月4日
井辺康二,1959年7月21日
今井譲二,1956年11月1日
今江年晶,1983年8月26日
今岡誠,1974年9月11日
今津光男,1938年7月8日
今中慎二,1971年3月6日
今成亮太,1987年10月6日
今西和男,1946年4月26日
井本直樹,1976年8月12日
伊与田一範,1978年2月25日
伊代野貴照,1980年10月29日
伊良部秀輝,1969年5月5日
入江道生,1951年9月15日
入来智,1967年6月3日
入来祐作,1972年8月13日
入谷正典,1928年10月15日
入野貴大,1988年11月26日
入野久彦,1980年9月20日
伊礼忠彦,1970年8月20日
岩尾孝幸,1941年7月10日
岩切英司,1961年10月8日
岩郷泰博,1943年8月3日
岩崎智史,1979年8月14日
岩崎哲也,1982年10月13日
岩崎良夫,1947年5月9日
岩下修一,1973年6月2日
岩下守道,1931年12月9日
岩瀬仁紀,1974年11月10日
岩田徹,1967年2月12日
岩舘学,1981年4月14日
岩橋慶侍,1991年4月23日
岩村明憲,1979年2月9日
岩本章,1921年1月14日
岩本輝,1992年10月21日
岩本進,1941年1月27日
岩本尭,1930年4月20日
岩本貴裕,1986年4月18日
岩本勉,1971年5月11日
岩本信一,2000年1月20日
岩本好広,1959年7月23日
岩本義行,1912年3月11日
植木一智,1946年7月15日
上田和明,1962年8月3日
上田次朗,1947年7月6日
上田卓三,1948年7月12日
上田武司,1946年3月16日
植田武彦,1927年4月13日
植田隼美,1923年9月20日
植田幸弘,1964年7月27日
上田好剛,1971年10月13日
上田佳範,1973年11月18日
上辻修,1948年7月15日
上野弘文,1981年4月10日
上野裕平,1978年12月25日
上野義秋,1920年12月11日
上原晃,1969年5月16日
上原浩治,1975年4月3日
植松精一,1955年10月10日
鵜飼克雄,1947年10月20日
鵜飼勉,1923年1月15日
浮島徹士,1968年8月11日
浮州重紀,1933年10月20日
鵜久森淳志,1987年2月1日
宇佐美敏晴,1947年8月5日
宇佐美塁大,1994年10月24日
牛島和彦,1961年4月13日
牛田成樹,1981年12月6日
宇田東植,1948年8月23日
宇高伸次,1976年8月24日
打越敏彦,1936年11月30日
内薗直樹,1974年5月14日
内田圭一,1946年7月13日
内田順三,1947年9月10日
内田強,1961年5月27日
内田照文,1949年6月3日
内田大孝,1972年8月28日
内堀保,1917年3月12日
内山和巳,1939年6月27日
内海武彦,1933年1月25日
有働克也,1969年9月24日
畝龍実,1964年6月21日
宇野錦次,1917年5月25日
宇野雅美,1978年5月2日
宇野勝,1958年5月30日
宇野光雄,1917年4月10日
梅田邦三,1947年2月1日
梅本正之,1936年8月10日
浦西美治,1941年1月24日
漆畑勝久,1939年10月12日
漆原進,1916年9月6日
運天ジョン・クレイトン,1992年3月27日
江川卓,1955年5月25日
江川智晃,1986年10月31日
江口行男,1915年4月4日
江坂政明,1967年8月9日
江崎照雄,1934年7月21日
江島巧,1949年11月24日
江尻慎太郎,1977年4月30日
江田孝,1923年3月18日
江田昌司,1945年9月16日
江藤智,1970年4月15日
江藤省三,1942年4月29日
江藤愼一,1937年10月6日
衛藤大輔,1922年10月14日
江藤正,1922年5月9日
江夏豊,1948年5月15日
榎康弘,1972年5月22日
榎本直樹,1948年7月10日
戎信行,1972年4月24日
江本晃一,1966年7月5日
江本孟紀,1947年7月22日
遠田誠治,1964年5月11日
遠藤伸久,1957年11月5日
遠藤政隆,1972年9月20日
遠藤竜志,1976年4月17日
及川美喜男,1959年9月18日
王貞治,1940年5月20日
大井光雄,1935年8月25日
大石友好,1954年1月15日
大石正彦,1936年1月11日
大石昌義,1972年7月18日
大石弥太郎,1943年10月6日
大岡虎雄,1912年3月28日
大河原栄,1953年6月6日
大木貴将,1991年11月22日
